,,city,0
moon_illumination,std,Lisboa,31.285001987588682
moon_illumination,std,Madrid,31.285001987588682
moon_illumination,std,Malaga,31.285001987588682
moon_illumination,std,Oporto,31.285001987588682
moon_illumination,std,Sevilla,31.285001987588682
moon_illumination,std,Valencia,31.285001987588682
moon_illumination,std,Vigo,31.285001987588682
moon_illumination,std,Zaragoza,31.285001987588682
DewPointC,count,Barcelona,3946.0
DewPointC,count,Bilbao,3946.0
DewPointC,count,Lisboa,3946.0
DewPointC,count,Madrid,3946.0
DewPointC,count,Malaga,3946.0
DewPointC,count,Oporto,3946.0
DewPointC,count,Sevilla,3946.0
DewPointC,count,Valencia,3946.0
DewPointC,count,Vigo,3946.0
DewPointC,count,Zaragoza,3946.0
DewPointC,mean,Barcelona,11.217435377597567
DewPointC,mean,Bilbao,9.529143436391282
DewPointC,mean,Lisboa,11.30385200202737
DewPointC,mean,Madrid,5.423973644196654
DewPointC,mean,Malaga,11.787633046122656
DewPointC,mean,Oporto,15.43613786112519
DewPointC,mean,Sevilla,9.12088190572732
DewPointC,mean,Valencia,20.697161682716676
DewPointC,mean,Vigo,9.98656867714141
DewPointC,mean,Zaragoza,6.617840851495185
DewPointC,min,Barcelona,-12.0
DewPointC,min,Bilbao,-7.0
DewPointC,min,Lisboa,-6.0
DewPointC,min,Madrid,-12.0
DewPointC,min,Malaga,-9.0
DewPointC,min,Oporto,-1.0
DewPointC,min,Sevilla,-12.0
DewPointC,min,Valencia,16.0
DewPointC,min,Vigo,-4.0
DewPointC,min,Zaragoza,-14.0
DewPointC,25%,Barcelona,7.0
DewPointC,25%,Bilbao,6.0
DewPointC,25%,Lisboa,9.0
DewPointC,25%,Madrid,3.0
DewPointC,25%,Malaga,8.0
DewPointC,25%,Oporto,13.0
DewPointC,25%,Sevilla,7.0
DewPointC,25%,Valencia,20.0
DewPointC,25%,Vigo,7.0
DewPointC,25%,Zaragoza,3.0
DewPointC,50%,Barcelona,11.0
DewPointC,50%,Bilbao,9.0
DewPointC,50%,Lisboa,12.0
DewPointC,50%,Madrid,6.0
DewPointC,50%,Malaga,12.0
DewPointC,50%,Oporto,16.0
DewPointC,50%,Sevilla,9.0
DewPointC,50%,Valencia,21.0
DewPointC,50%,Vigo,10.0
DewPointC,50%,Zaragoza,7.0
DewPointC,75%,Barcelona,17.0
DewPointC,75%,Bilbao,13.0
DewPointC,75%,Lisboa,14.0
DewPointC,75%,Madrid,9.0
DewPointC,75%,Malaga,15.0
DewPointC,75%,Oporto,19.0
DewPointC,75%,Sevilla,12.0
DewPointC,75%,Valencia,22.0
DewPointC,75%,Vigo,13.0
DewPointC,75%,Zaragoza,11.0
DewPointC,max,Barcelona,23.0
DewPointC,max,Bilbao,20.0
DewPointC,max,Lisboa,20.0
DewPointC,max,Madrid,15.0
DewPointC,max,Malaga,22.0
DewPointC,max,Oporto,25.0
DewPointC,max,Sevilla,20.0
DewPointC,max,Valencia,24.0
DewPointC,max,Vigo,19.0
DewPointC,max,Zaragoza,19.0
DewPointC,std,Barcelona,6.246062190590588
DewPointC,std,Bilbao,4.681250483030226
DewPointC,std,Lisboa,4.038869492893513
DewPointC,std,Madrid,4.337348985423979
DewPointC,std,Malaga,4.724609585942731
DewPointC,std,Oporto,4.275446648107312
DewPointC,std,Sevilla,4.237300098465206
DewPointC,std,Valencia,1.3548119387260666
DewPointC,std,Vigo,3.9260040456888405
DewPointC,std,Zaragoza,5.243710796383626
FeelsLikeC,count,Barcelona,3946.0
FeelsLikeC,count,Bilbao,3946.0
FeelsLikeC,count,Lisboa,3946.0
FeelsLikeC,count,Madrid,3946.0
FeelsLikeC,count,Malaga,3946.0
FeelsLikeC,count,Oporto,3946.0
FeelsLikeC,count,Sevilla,3946.0
FeelsLikeC,count,Valencia,3946.0
FeelsLikeC,count,Vigo,3946.0
FeelsLikeC,count,Zaragoza,3946.0
FeelsLikeC,mean,Barcelona,16.766852508869743
FeelsLikeC,mean,Bilbao,12.51976685250887
FeelsLikeC,mean,Lisboa,16.20248352762291
FeelsLikeC,mean,Madrid,14.746071971616827
FeelsLikeC,mean,Malaga,17.94298023314749
FeelsLikeC,mean,Oporto,20.163710086163203
FeelsLikeC,mean,Sevilla,18.742270653826658
FeelsLikeC,mean,Valencia,26.791941206284847
FeelsLikeC,mean,Vigo,12.834262544348707
FeelsLikeC,mean,Zaragoza,13.677141409021795
FeelsLikeC,min,Barcelona,-4.0
FeelsLikeC,min,Bilbao,-5.0
FeelsLikeC,min,Lisboa,2.0
FeelsLikeC,min,Madrid,-8.0
FeelsLikeC,min,Malaga,0.0
FeelsLikeC,min,Oporto,1.0
FeelsLikeC,min,Sevilla,-1.0
FeelsLikeC,min,Valencia,21.0
FeelsLikeC,min,Vigo,-2.0
FeelsLikeC,min,Zaragoza,-13.0
FeelsLikeC,25%,Barcelona,11.0
FeelsLikeC,25%,Bilbao,8.0
FeelsLikeC,25%,Lisboa,12.0
FeelsLikeC,25%,Madrid,7.0
FeelsLikeC,25%,Malaga,12.0
FeelsLikeC,25%,Oporto,16.0
FeelsLikeC,25%,Sevilla,12.0
FeelsLikeC,25%,Valencia,26.0
FeelsLikeC,25%,Vigo,9.0
FeelsLikeC,25%,Zaragoza,7.0
FeelsLikeC,50%,Barcelona,16.0
FeelsLikeC,50%,Bilbao,13.0
FeelsLikeC,50%,Lisboa,16.0
FeelsLikeC,50%,Madrid,14.0
FeelsLikeC,50%,Malaga,17.0
FeelsLikeC,50%,Oporto,20.0
FeelsLikeC,50%,Sevilla,18.0
FeelsLikeC,50%,Valencia,27.0
FeelsLikeC,50%,Vigo,13.0
FeelsLikeC,50%,Zaragoza,13.0
FeelsLikeC,75%,Barcelona,22.0
FeelsLikeC,75%,Bilbao,17.0
FeelsLikeC,75%,Lisboa,20.0
FeelsLikeC,75%,Madrid,23.0
FeelsLikeC,75%,Malaga,24.0
FeelsLikeC,75%,Oporto,25.0
